host_ts,Normal_order_0,Normal_order_1,Normal_order_10,Normal_order_2,Normal_order_3,Normal_order_4,Normal_order_5,Normal_order_6,Normal_order_7,Normal_order_8,Normal_order_9
1782915577,4909,3766,0,3262,2770,223,4,0,0,0,0
1782915582,7264,5272,0,2369,371,2,0,0,0,0,0
1782915587,4975,6362,0,5353,634,10,0,0,0,0,0
1782915592,3426,4450,0,2685,1522,121,1,0,0,0,0
1782915597,757,4856,0,3664,976,139,8,0,0,0,0
1782915602,3356,5108,0,3340,1373,43,0,0,0,0,0
1782915607,2276,4108,0,4488,1447,134,2,0,0,0,0
1782915612,29633,12146,0,21088,2620,58,0,0,0,0,0
1782915617,10872,11697,0,1878,507,3,1,0,0,0,0
1782915622,8357,10387,0,3657,472,31,12,1,0,0,0
1782915627,4594,10224,0,1576,486,22,3,4,0,0,0
1782915632,6651,9737,0,8778,888,47,2,0,0,0,0
1782915637,3295,7196,0,3547,1133,18,2,0,0,0,0
1782915642,16269,6468,0,3453,949,45,2,0,0,0,0
1782915647,12015,7490,0,5399,956,47,2,0,0,0,0
1782915652,16464,9375,0,24,16,7,2,0,0,0,0
1782915657,6570,11623,0,7229,314,31,2,0,0,0,0
1782915662,6945,10870,0,2682,278,10,2,0,0,0,0
1782915667,6069,10579,0,2679,385,6,2,0,0,0,0
1782915672,10876,11379,0,7731,496,29,3,1,0,0,0
1782915677,23795,10278,0,10,14,7,2,0,0,0,0
1782915682,34112,8238,0,1758,474,29,5,0,0,0,0
1782915687,26392,7972,0,73,400,17,2,0,0,0,0
1782915692,16957,7096,0,10296,1123,76,5,0,0,0,0
1782915697,14931,7912,0,1958,829,18,2,0,0,0,0
1782915702,10146,10293,0,1630,464,11,2,0,0,0,0
1782915707,3857,4239,0,6955,2336,25,2,0,0,0,0
1782915712,15859,11250,0,2893,501,36,2,0,0,0,0
1782915717,6181,11727,0,460,33,7,2,0,0,0,0
1782915722,8095,9694,0,5952,1036,33,7,0,0,0,0
1782915727,9537,10238,0,356,27,8,2,0,0,0,0
1782915732,4675,8708,0,7785,683,30,3,0,0,0,0
1782915737,2168,4375,0,2874,607,17,2,0,0,0,0
1782915742,7830,7849,0,1259,130,9,2,0,0,0,0
1782915747,13250,11489,0,1009,55,9,2,0,0,0,0
1782915752,11728,10159,0,8,14,7,2,0,0,0,0
1782915757,12241,8438,0,5238,930,39,2,0,0,0,0
1782915762,9772,8547,0,1074,643,41,2,0,0,0,0
1782915767,8714,11156,0,3540,173,26,18,0,0,0,0
1782915772,6934,10786,0,4000,693,41,2,0,0,0,0
1782915777,12767,9248,0,12807,1122,22,2,0,0,0,0
1782915782,6924,12856,0,6837,958,40,2,0,0,0,0
1782915787,8151,11953,0,1314,174,15,3,0,0,0,0
1782915792,18411,8797,0,21200,2428,102,2,0,0,0,0
1782915797,22530,9530,0,16152,2319,151,2,0,0,0,0
1782915802,12853,9299,0,2937,301,129,2,0,0,0,0
1782915807,7762,10088,0,4099,261,10,2,0,0,0,0
1782915812,10258,10452,0,117,21,7,2,0,0,0,0
1782915817,20726,9935,0,14654,2012,38,2,0,0,0,0
1782915822,15833,6919,0,154,17,10,2,0,0,0,0
1782915827,10092,11314,0,6939,217,14,2,0,0,0,0
1782915832,11229,7649,0,486,43,10,2,0,0,0,0
1782915837,12145,10592,0,1437,196,12,2,0,0,0,0
1782915842,8360,8019,0,500,239,8,2,0,0,0,0
